"key","section","title","file_candidates","caption","todo"
"key_quantities","Assessment outputs","Key derived quantities","key-quantities.png;key-quantities-smoke.png;mfclshiny-report-depletion.png;depletion-smoke.png","Key derived quantities for the selected {assessment_year} {species_label} assessment models, including depletion, recruitment, spawning potential, and fishing mortality trajectories where available.","Run the plot task so report-ready key quantity figures are available."
"change_impact","Assessment outputs","Change impact summary","change-impact-tree.png;change-impact-tree.pdf;change-impact-tree.svg","Latest key quantities grouped by explicit model-change tokens for {species_label}. Bars compare models with each token against models without it, helping identify which sensitivity changes have the largest effect on report quantities.","Run the plot task with named base and sensitivity models so the change-impact figure is available."
"map_regions","Data and structure","Assessment area and model regions","map_9regions.png;model-regions.png;assessment-regions.png","Geographical area covered by the {assessment_year} {species_label} assessment and the model regions used in the assessment.","Add the {assessment_year} model region map or confirm that the previous region structure is still used."
"tag_displacement_map","Data and structure","Tag release and recapture displacements","tag_displacement_map.png;tag-displacement-map.png","Map of tag release and recapture displacements for tagging programs used in the assessment.","Add the updated tag displacement map if tagging data are included."
"catch_history_total","Fishery data","Annual catch by gear","catch_hist_full.png;catch-history-full.png;annual-catch-by-gear.png","Annual catches of {species_label} by gear type in the {assessment_area} assessment area.","Generate the annual catch history from the {assessment_year} input data."
"catch_history_regional","Fishery data","Annual catch by region and gear","catch_hist_regional.png;catch-history-regional.png","Annual catches of {species_label} by gear type for each model region.","Generate the regional catch history from the {assessment_year} input data."
"catch_map","Fishery data","Recent catch distribution","catch_map.png;catch-map.png;recent-catch-map.png","Distribution and magnitude of recent {species_label} catches by gear type and spatial cell.","Generate the recent catch map and set the caption years to the {assessment_year} data period."
"data_coverage","Fishery data","Data coverage by fishery","data_coverage_tile.png;data-coverage-tile.png","Summary of data coverage by fishery for the {assessment_year} {species_label} assessment.","Generate the data coverage tile from the final {assessment_year} input files."
"catch_longline","Fishery data","Longline catch by fishery","catch_by_fishery_longline.png;catch-by-fishery-longline.png","Time series of longline catches by fishery.","Generate longline catch-by-fishery plots from the final {assessment_year} input files."
"catch_purse_seine","Fishery data","Purse seine catch by fishery","catch_by_fishery_ps.png;catch-by-fishery-ps.png","Time series of purse seine catches by fishery.","Generate purse seine catch-by-fishery plots from the final {assessment_year} input files."
"catch_other","Fishery data","Other gear catch by fishery","catch_by_fishery_other.png;catch-by-fishery-other.png","Time series of catches by other fisheries.","Generate other-gear catch-by-fishery plots from the final {assessment_year} input files."
"cpue_nominal_maps","Abundance indices","Nominal CPUE spatial distribution","cpue_nom_maps.png;cpue-nominal-maps.png","Spatial distribution of nominal longline CPUE for {species_label} in the Pacific.","Add updated nominal CPUE maps from the {assessment_year} CPUE analysis."
"cpue_index_1_5","Abundance indices","Nominal and standardised CPUE, regions 1-5","cpue_nom_std_1_5_portrait.png;cpue-index-regions-1-5.png","Standardised and nominal CPUE for the longline index fisheries in model regions 1-5.","Add updated CPUE index plots for regions 1-5."
"cpue_index_6_9","Abundance indices","Nominal and standardised CPUE, regions 6-9","cpue_nom_std_6_9_portrait.png;cpue-index-regions-6-9.png","Standardised and nominal CPUE for the longline index fisheries in model regions 6-9.","Add updated CPUE index plots for regions 6-9."
"length_sample_size","Composition data","Length composition sample size","length_comp_sampl_sum.png;length-sample-size.png","Sample sizes for length composition data for each fishery across the assessment period.","Generate the final {assessment_year} length composition sample-size plot."
"weight_sample_size","Composition data","Weight composition sample size","weight_comp_sampl_sum.png;weight-sample-size.png","Sample sizes for weight composition data for each fishery across the assessment period.","Generate the final {assessment_year} weight composition sample-size plot."
"tag_release_recapture","Tagging data","Tag releases and recaptures","tag_release_recapt.png;tag-release-recapture.png","Numbers of tag releases, recaptures, and recapture rates by tagging program and region.","Generate the updated tag release and recapture summary."
"tag_attrition","Tagging data","Tag attrition fits","tag_attrition_all.png;tag_attrition_by_program.png;tag_attrition_by_region.png;tag-attrition-all.png;tag-attrition-by-program.png;tag-attrition-by-region.png","Observed and model-predicted tag attrition for the selected diagnostic model, shown overall and by tagging program or model region where available.","Generate tag attrition diagnostics from the selected {assessment_year} model."
"tag_returns","Tagging data","Tag return fits","tag_returns_all.png;tag_returns_ll.png;tag_returns_other.png;tag-returns-all.png;tag-returns-by-group.png","Observed and model-predicted tag returns through time, with returns in the mixing period handled according to the assessment model settings.","Generate tag-return fit diagnostics from the selected {assessment_year} model."
"tag_reporting_rates","Tagging data","Tag reporting rates","tag_report_rates.png;tag-report-rates.png;tagging-dynamics.png","Estimated tag reporting rates and priors for reporting-rate groups used in the selected model.","Generate tag reporting-rate diagnostics if tag reporting rates are estimated."
"tag_recapture_pressure","Tagging data","Tag recapture pressure","tag-recapture-pressure.png;tag-recapture-pressure-by-fishery.png","Observed-to-expected tag recapture pressure by release and recapture stratum for the selected model set.","Generate tag recapture-pressure diagnostics if tag recapture information is available."
"growth","Biology","Growth curve and conditional age-at-length","growth_curve.png;growth_CAAL.png;growth-curve.png","Growth curve and conditional age-at-length observations used in the assessment.","Add the {assessment_year} growth and conditional age-at-length figure."
"otolith_map","Biology","Otolith sample locations","otolith_map.png;otolith-sample-map.png","Sample locations for otolith observations used to inform growth estimation in the assessment model.","Add the otolith sample map if conditional age-at-length data are used."
"maturity","Biology","Maturity ogive","maturity_ogive.png;maturity-ogive.png;maturity-at-age.png","Maturity-at-age ogive used in the assessment model.","Add the maturity ogive used in the final {assessment_year} model."
"natural_mortality","Biology","Natural mortality at age","natm_at_age.png;natural-mortality-at-age.png","Natural mortality-at-age by quarter used or estimated in the assessment model.","Add the final natural mortality-at-age figure."
